"Djoef","08:54:53 +Djoef | Poele: laat u ballen maa waar ze hangen ","Nuva",0,1
"Djoef","08:58:35 <Djoef> you you you you ain't seen my balls","Nuva",0,1
"Djoef","10:17:54 <Djoef> ij is nog nie heet genoeg","Nuva",0,1
"Djoef","09:55:10 <Djoef> int begin gaat het nog een beetje stroef, ma ne keer da ze bezig is gaat et vlot","Nuva",0,1
"Djoef","12:36:26 <Djoef> So remember tonight is the night of nights","Nuva",0,1
"Djoef","15:02:16 <Djoef> ej ai wil da et werk goe gedaan is, geeft et aan ne leegaard","Nuva",0,1
"oere","dit is een test \r\n tadaa","Djoef",1,0
"highfive","%param:%randomuser%% receives a well-earned highfive from %user%","Nuva",12,0
"lovemachine","%param:%randomuser%% and %randomuser% have a sexual attraction level of %dice:0:100%%!","Nuva",41,0
"joketest","werkt da?","Thom",1,0
"jokeretest","da werkt!","Djoef",0,0
"pingpong","PingPong match gestart, opslag aan %param:%randomuser%%","Mirzoda",15,0
"pingpongstatus","PingPong, de bal ligt bij %param:%","Djoef",1,0
"shortkeys","http://dmcritchie.mvps.org/firefox/keyboard.htm ","Essevee21",0,0
"getal","1","Mirzoda",3,1
"getal","%dice:0:2147483647%","Mirzoda",0,1
"diceroll","%dice:1:6% %dice:1:6% %dice:1:6% ","Nuva",3,0
"d20","%dice:1:20%","Rha",9,0
"d-20","%dice:-20:0%","Thom",1,0
"d","%dice:0:%param%%","Mirzoda",36,0
"d0","%dice:0:0%","Mytherious",3,0
"dmulti","%dice:0:10*10*10*10%","Mytherious",1,0
"dmultimulti","%dice:0:%Param%*%Param%%","Robshot",1,0
"dtest","%dice:0:%dice:0:100%%","Thom",1,0
"pi","3,14159265358979323846264338327950288419716939937510","Djoef",2,0
"NuvasD","%dice:nuva:0% %dice:%randomuser%:%dice:0:0%%","Rha",1,0
"HelpViveslan","http://help.viveslan.be/","Nuva",3,0
"programming","Debugging is twice as hard as writing the code in the first place. Therefore, if you write the code as cleverly as possible, you are, by definition, not smart enough to debug it. ","Mytherious",1,1
"programming","Programming is a race between developer to create better and more idiot-proof programs, and the universe to create better idiots. So far, the universe is winning...","Mytherious",0,1
"poelerave","Poele pakt een glowdick en gooit die naar %param:%randomuser%%!!","Mirzoda",4,0
"testing","/me !d 4","Mytherious",1,0
"skyline","Vrijgeleide A38: https://www.youtube.com/watch?v=n9o1E222iFQ","Djoef",0,0
"tisierstil","Inderdaad! %randomuser%: Zeg eens iets!","Mirzoda",5,0
"wablief","wablief en wablaf zaten in een boom, wablaf valt eruit, wie zit er nog in de boom? (Antwoord met een !)","Mirzoda",5,0
"wablaf","Nee, domme ezel! Tis wablief!","Mirzoda",0,0
"challengeAccepted","CHALLENGE ACCEPTED!","Poele",2,0
"testin","/msg #viveslan IK HOU VAN TETJES!!","Rha",1,0
"sos","I'm calling the emergency services 0118999881999119725 3","Djoef",0,0
"phonenumber","%dice:111111111:999999999%","Nuva",1,0
"testNummers","%dice:0:9%%dice:0:9%%dice:0:9%%dice:0:9%%dice:0:9%","Mirzoda",1,0
"dicetest","%dice:10:0%","Rha",1,0
"cactus","cactelders","Mirzoda",3,1
"cactus","cactieverstanders","Mirzoda",0,1
"stop","Hammertime!","Djoef",3,0
"byebye","Ja, zettet maar aan, sletteeeeuhhhh!","Beholder",11,0
"Bomdia","Portugees voor goeie morgen","Robshot",1,0
"Beholder","Beholder>en is haar pa ook zo nen harde gelijk gy?","Robshot",0,1
"Beholder","14:38:05 +Beholder | do you feel my hard beating","Robshot",0,1
"Beholder","amai, iedereen wil hier aan mijn nootjes komen","Robshot",0,1
"Beholder","Beholder>te hard? te nat?","Robshot",0,1
"Miklas","10:14 <+Miklas> Ik lig te slapen achter mijn bureau","Nuva",1,1
"Miklas","09:44:49 <Miklas> Stop met zo vlaams te zijn! ","Nuva",0,1
"werkendenbrol","/me","Nuva",1,0
"hungry","%user% is hungry!","Mirzoda",1,0
"regen","Ik hou niet van regen ☂","Essevee21",2,0
"margikarp","nen karp dat van margi lan komt","Rha",0,0
"Andrei","Fokoff","Djoef",0,0
"trivia","anagram: Valve Sin","Nuva",7,0
"stupidity","Rha","Mirzoda",1,0
"bundle","https://www.bundlestars.com","Beholder",0,0
"Ishit","http://theoatmeal.com/comics/apple","Beholder",0,0
"spamuurtje","een muurtje in een Spa center","Rha",12,0
"TheForce","Ask Yoda....","Yoda",1,0
"roll","Aaaaaaand... The dice shows you a %dice:1:6%!","Yoda",19,0
"poepen","%param:%randomuser%% has a %dice:0:100%% chance to get laid tonight!","Nuva",25,0
"poepgaatje","Pokedex: Yoda´s poepgaatje has a 0% chance to get laid tonight!","Yoda",2,0
"elfia","IS DE MAX KENNY!!!","Yoda",2,0
"kenny","Neveneffecten - Dieren des Doods - https://www.youtube.com/watch?v=kXGPtoPOVKg","Yoda",2,0
"dinos","ZIJN DE MAX KENNY!!!","Yoda",3,0
"omfg","Poele: en wien is kenny","Yoda",1,0
"ET","Poele phone home...","Beholder",1,0
"rhum","Rhum %param:%randomuser%%, RHUUUUUUM!!","Rha",2,0
"byeRobshot","Het is nu exact 16u30!","Beholder",19,0
"meatspin","%user% spins his meat round and round and round and round... *FLETS* meatjuice hitting the face of %param:%randomuser%%","Rha",1,0
"slapathon","%user% slaps %param:%randomuser%% with a big breasted milky way whore until he did %dice:100:1000% push-ups!","Mirzoda",0,0
"boetn","test","Djoef",1,0
"slap","%user% slaps %param:%randomuser%% with a pink double ended dildo.","Rha",45,1
"slap","%user% slaps %param:%randomuser%% with a qwerty keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with an azerty keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with an dvorak keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a qwertz keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a qzerty keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a ĄŽERTY keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a Colemak keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a Workman keyboard!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with an iPhone7!","Rha",0,1
"slap","%user% slaps %param:%randomuser%% with a G-string","Rha",0,1
"defend","%user% hides behind a big tree","Essevee21",32,1
"defend","%user% hides behind a big rock","Essevee21",0,1
"defend","%user% defends himself with a 4K screen!","Essevee21",0,1
"defend","%user% enables his powershield","Essevee21",0,1
